lambda_tc,lambda_dd,mean_sortino,mean_cumret,cash_collapse
0.005,0.02,153.5123359001865,17.345444307016862,0.0
0.005,0.05,151.15152185706964,17.998144978234148,0.0
0.005,0.0,116.12269948004268,15.684936758500804,0.0
0.01,0.05,13.403895254734639,1.6636923559206158,0.0
0.01,0.02,10.048625653736082,1.1510906917293888,0.0
0.01,0.0,7.462623064131813,0.9129582986031921,0.0
0.02,0.02,4.849158740825408,0.6312461064908671,0.0
0.02,0.0,3.3336772613221157,0.5075523018005251,0.0
0.02,0.05,1.7357877390183774,0.3065870967982596,0.0
