bps,strategy,cum_ret,ann_ret,ann_vol,sharpe,sortino,max_dd,fees_usd
0,Random,0.044520365594925115,0.04464014254379789,0.3147512567848697,0.1418267287683678,0.14986008170758167,-0.25297091290190277,
0,Hold cash,0.0,0.0,0.0,0.0,0.0,0.0,
0,Hold Asset_0,0.04496744921848328,0.04508845476253964,0.5196080160457074,0.08677397673332596,0.10681808715915736,-0.4070430753184436,
0,Equal weight,0.04496744921848328,0.04508845476253964,0.5196080160457074,0.08677397673332596,0.10681808715915736,-0.4070430753184436,
0,SMA crossover,-0.18881185318733706,-0.18925858189678535,0.38291802750663406,-0.4942535042985705,-0.5240508226038114,-0.438385125253786,
0,DQN (final),2.184050195017893,2.1937726052215023,0.23969894957420473,9.152199113081114,14.061885813046167,-0.06636448103020394,0.0
10,Random,-0.9998538452508351,-0.999857203728164,0.2984235009113919,-3.3504639117560755,-4.127696325983741,-0.9998538452508351,
10,Hold cash,0.0,0.0,0.0,0.0,0.0,0.0,
10,Hold Asset_0,0.04496744921847373,0.04508845476252987,0.5196080160457073,0.08677397673330717,0.10681808715913421,-0.4070430753184443,
10,Equal weight,0.04496744921847373,0.04508845476252987,0.5196080160457073,0.08677397673330717,0.10681808715913421,-0.4070430753184443,
10,SMA crossover,-0.8092351588760893,-0.8100653242857522,0.38629947157927014,-2.0969878628209435,-2.358425656830309,-0.8110872458319988,
10,DQN (final),1.78400043790883,1.791514470212907,0.23660082168655197,7.57188576828969,11.43189201524468,-0.06636448103020333,1350.0
25,Random,-0.9999999994790149,-0.9999999995075212,0.34959086656089655,-2.860486547432331,-3.5579860486558825,-0.9999999994799937,
25,Hold cash,0.0,0.0,0.0,0.0,0.0,0.0,
25,Hold Asset_0,0.04496744921847906,0.045088454762535424,0.5196080160457074,0.08677397673331784,0.10681808715914737,-0.4070430753184413,
25,Equal weight,0.04496744921847906,0.045088454762535424,0.5196080160457074,0.08677397673331784,0.10681808715914737,-0.4070430753184413,
25,SMA crossover,-0.9783629831697674,-0.9785802292166889,0.40385966281913993,-2.423069930170833,-2.7783512822281464,-0.9785029097025298,
25,DQN (final),1.275647885302868,1.2805790826417964,0.23285023896246584,5.499582192193484,8.073260351351836,-0.07193420321199917,3375.0
